Sequence,Category,Length (Frames),Attributes,Length_Group
28-USV,USV,1440,None,Long
106-Boat,Boat,157,None,Short
119-USV,USV,450,None,Medium
111-Boat,Boat,1140,None,Medium
116-Boat,Boat,120,None,Short
142-SailBoat,SailBoat,480,None,Medium
17-Boat,Boat,540,None,Medium
147-Boat,Boat,1140,None,Medium
150-Boat,Boat,1140,None,Medium
122-USV,USV,120,None,Short
137-Boat,Boat,1259,None,Long
133-Boat,Boat,1199,None,Long
34-Boat,Boat,300,None,Short
152-Boat,Boat,450,None,Medium
103-SailBoat,SailBoat,180,None,Short
127-Boat,Boat,2274,None,Long
112-Boat,Boat,1350,None,Long
138-Boat,Boat,390,None,Medium
12-USV,USV,1200,None,Long
1-Ship,Ship,1470,None,Long
139-Boat,Boat,138,None,Short
157-Boat,Boat,90,None,Short
27-USV,USV,506,None,Medium
33-Boat,Boat,99,None,Short
128-USV,USV,1888,None,Long
38-Boat,Boat,750,None,Medium
31-Boat,Boat,156,None,Short
15-USV,USV,270,None,Short
11-Boat,Boat,449,None,Medium
3-Boat,Boat,570,None,Medium
129-Boat,Boat,1259,None,Long
125-USV,USV,1440,None,Long
109-Boat,Boat,240,None,Short
35-USV,USV,1350,None,Long
104-Boat,Boat,540,None,Medium
121-Boat,Boat,1866,None,Long
123-Boat,Boat,210,None,Short
25-Boat,Boat,1770,None,Long
132-Boat,Boat,240,None,Short
108-SailBoat,SailBoat,240,None,Short
134-Boat,Boat,240,None,Short
159-Boat,Boat,1380,None,Long
136-SailBoat,SailBoat,90,None,Short
110-Boat,Boat,405,None,Medium
130-Boat,Boat,420,None,Medium
23-USV,USV,1110,None,Medium
30-Boat,Boat,2014,None,Long
26-USV,USV,52,None,Short
153-Boat,Boat,1920,None,Long
37-Boat,Boat,1789,None,Long
14-Boat,Boat,704,None,Medium
41-Boat,Boat,0,None,Short
40-Boat,Boat,1649,None,Long
155-USV,USV,1440,None,Long
126-Ship,Ship,225,None,Short
154-Boat,Boat,630,None,Medium
19-USV,USV,189,None,Short
24-Boat,Boat,226,None,Short
10-USV,USV,697,None,Medium
100-Boat,Boat,180,None,Short
21-USV,USV,99,None,Short
124-USV,USV,729,None,Medium
143-Boat,Boat,300,None,Short
107-Boat,Boat,300,None,Short
145-Boat,Boat,1350,None,Long
135-Boat,Boat,2278,None,Long
29-USV,USV,630,None,Medium
117-USV,USV,180,None,Short
16-USV,USV,1080,None,Medium
102-Boat,Boat,1199,None,Long
120-Boat,Boat,54,None,Short
115-Boat,Boat,180,None,Short
39-Boat,Boat,681,None,Medium
114-USV,USV,600,None,Medium
156-Boat,Boat,570,None,Medium
131-Boat,Boat,300,None,Short
144-Boat,Boat,2550,None,Long
149-SailBoat,SailBoat,360,None,Medium
151-Boat,Boat,1800,None,Long
36-USV,USV,1109,None,Medium
4-USV,USV,1973,None,Long
2-USV,USV,1319,None,Long
141-Boat,Boat,540,None,Medium
22-Boat,Boat,99,None,Short
140-Ship,Ship,360,None,Medium
18-Boat,Boat,930,None,Medium
146-Boat,Boat,1140,None,Medium
118-Boat,Boat,1140,None,Medium
13-USV,USV,180,None,Short
20-USV,USV,488,None,Medium
101-Boat,Boat,360,None,Medium
113-Boat,Boat,1800,None,Long
158-Boat,Boat,1350,None,Long
148-Boat,Boat,1650,None,Long
32-USV,USV,1830,None,Long
105-Boat,Boat,180,None,Short
